97,139,280,302,304
8,92,231,280,367
62,208,367,372,379
40,211,239,243,379
126,231,243,304,384
62,65,257,374,378
126,177,304,367,371
14,18,139,208,285
62,210,211,367,371
210,304,309,318,374
12,65,342,347,367
148,181,302,309,373
29,74,225,304,318
41,210,211,312,367
139,302,304,309,367
74,132,243,288,384
80,131,188,244,308
208,210,211,309,367
232,251,371,372,384
177,211,299,351,384
74,127,367,374,380
39,159,164,177,380
41,304,309,318,372
41,304,367,372,377
139,177,227,304,374
62,119,226,374,380
53,304,342,379,384
126,177,304,370,371
18,210,304,342,371
251,302,309,367,372
231,333,367,370,379
40,181,265,280,302
139,177,304,342,372
13,91,298,355,376
6,208,257,372,379
64,77,211,309,367
92,302,304,367,380
139,231,251,296,367
71,280,304,348,378
22,89,115,367,374
77,210,309,318,372
153,304,367,374,379
62,211,227,367,372
177,302,304,309,367
107,182,226,302,374
127,302,304,318,374
175,226,367,374,380
92,153,304,367,379
74,119,127,251,309
18,251,372,379,384
2,188,304,309,318
119,177,208,367,372
175,189,211,251,373
12,72,81,309,347
41,304,309,367,379
119,156,210,364,367
119,302,304,332,342
51,115,139,148,309
175,225,318,374,379
115,118,139,263,349
64,155,310,371,379
126,210,226,367,371
211,309,374,379,380
86,119,177,309,372
40,53,211,367,371
62,119,226,318,372
12,118,157,188,309
92,210,211,302,331
62,138,210,211,215
139,210,302,309,367
119,126,127,208,379
119,139,211,309,367
92,107,226,227,232
74,107,126,182,304
92,280,304,371,384
109,211,302,367,379
210,211,280,309,367
148,304,309,367,371
64,127,173,251,255
93,132,301,372,379
2,126,221,304,318
92,224,243,310,318
272,309,318,371,374
16,92,181,243,318
105,113,239,243,342
25,38,57,63,67
210,211,342,373,378
119,139,148,227,367
119,227,370,372,380
74,155,318,372,375
107,296,304,379,384
175,251,304,309,367
62,74,208,280,309
119,211,280,367,372
177,304,351,371,377
127,226,280,342,371
139,227,304,318,372
210,304,309,367,372
107,135,153,257,374
139,210,211,231,367
139,208,309,372,379
181,189,304,367,371
72,127,302,304,309
7,10,26,67,77
40,72,318,367,371
92,304,309,318,367
210,211,276,302,367
226,280,302,342,377
166,225,268,318,373
53,302,318,367,374
29,304,318,372,374
18,98,245,300,384
166,234,302,304,367
40,211,318,372,384
130,189,211,302,367
53,139,211,318,372
107,124,212,367,374
62,211,215,243,367
98,309,318,342,371
108,210,309,367,372
148,226,367,372,384
131,139,208,226,309
7,132,189,367,371
237,304,371,374,377
211,309,318,375,380
177,208,243,309,367
177,304,367,374,384
18,139,297,309,367
166,239,280,304,371
46,47,56,69,71
166,189,192,304,371
169,189,302,367,372
62,304,372,379,384
18,32,132,181,280
44,72,221,237,304
119,148,181,243,374
210,211,302,374,384
24,83,89,326,368
119,177,304,342,367
41,177,208,211,243
174,208,318,367,371
119,302,367,374,379
243,304,371,374,379
237,304,309,372,384
210,226,367,370,371
153,280,304,367,372
190,210,231,302,304
126,139,211,367,371
139,177,302,309,372
62,127,231,379,385
119,177,304,309,367
107,126,211,367,371
127,175,318,349,373
97,189,211,218,251
41,81,97,98,330
139,210,304,367,372
12,130,188,309,363
119,139,148,367,384
148,181,243,374,385
126,210,302,309,367
53,139,173,309,367
62,210,211,302,367
2,6,12,72,97
62,210,211,318,371
210,302,304,309,318
239,251,302,304,367
137,226,231,329,371
98,153,304,318,374
127,175,276,374,379
107,210,217,239,367
139,177,304,367,371
211,276,302,309,367
41,211,309,372,380
211,309,367,372,380
139,211,281,302,309
40,62,119,208,380
192,195,197,347,363
119,177,211,296,377
97,107,304,371,374
202,304,351,372,384
86,211,280,296,318
177,211,309,379,384
40,107,287,309,372
119,211,280,296,367
62,211,318,367,372
208,211,367,372,379
12,36,237,294,377
175,302,318,367,372
203,211,251,367,378
40,208,372,379,384
74,302,304,318,367
177,302,309,318,374
119,283,318,373,384
97,215,304,374,380
22,63,97,192,225
39,133,139,226,318
41,62,119,304,372
62,139,231,367,372
137,284,304,371,377
18,157,220,260,283
152,351,367,372,384
304,318,367,371,372
109,239,342,373,385
77,175,182,208,384
39,48,231,310,324
208,234,243,318,367
125,131,231,307,308
210,226,302,367,374
177,211,280,342,367
23,65,158,339,381
148,181,208,367,374
119,208,304,378,384
148,302,309,318,367
45,137,243,302,309
96,118,175,367,371
189,231,304,367,377
119,210,318,349,373
173,210,211,221,269
208,231,251,309,367
18,28,35,59,68
97,115,120,279,367
62,131,243,342,367
72,77,130,166,309
98,157,223,251,371
139,148,181,227,374
119,175,318,342,367
119,139,148,255,367
18,210,302,367,377
62,232,280,304,375
77,92,107,182,302
119,148,159,258,342
175,211,309,371,379
74,132,136,280,367
182,231,309,318,371
107,148,253,333,372
